ID,District_Name,District_Hospital_Name,CHCs,Month,Patient_Registration_%,Appointment_Utilization_%,OPD_Growth_%,Bed_Occupancy_%,Pharmacy_Fulfillment_%,Lab_TAT_Hours,Radiology_Utilization_%,OPD_Billing_Accuracy_%,IPD_Discharge_Summary_%,OT_Utilization_%,Surgery_Success_%,Emergency_Response_Min,Staff_Attendance_%,Claim_Settlement_%,Patient_Satisfaction_%,Ambulance_Response_Min,Consultancy Type,% Patient having ABHA ID,HFR_Registred,Time for Initial Assessment of Indoor Patients (min),% of Unplanned Return to OT,Mortality Ratio for ICU (%),Return to ICU within 48 hrs (%),TAT for the Issue of Blood (min),Ambulance Utilization Rate (%),Ambulance Medication/Equipment Availability (%)
HR25F0035,Hisar,Maharaja Agrasen Medical College,Sorkhi,01-01-2025,48.5,84,12,83.5,99,7.6,88,90,80,82,85,16,98,75,51,18.5,New,51.3,Yes,50,2,1,3,23,56.4,83.8
HR25F0036,Jhajjar,Jhajjar-DH,Dighal,01-01-2025,50,42.4,4,44,98,7.0,73,100,96,53.4,88,8,86,64,93.2,13,New,80.7,Yes,21,4,2,4,55,44.5,45
HR25F0037,Jhajjar,Jhajjar-DH,Dhakla,01-01-2025,83,77.9,4,88.5,88,6.2,61,80,73,44.3,96,22,91,67,47.3,19.5,Follow-up,68.7,No,10,2,1,3,61,77.6,88.8
HR25F0038,Jhajjar,Jhajjar-DH,Jamalpur,01-01-2025,41,43.7,11,63.1,91,5.5,46,100,78,74.2,92,20,91,76,82.2,18.5,New,30,No,23,4,1,0,30,71.7,67.5
HR25F0039,Jhajjar,Jhajjar-DH,Dubaldhan,01-01-2025,63.5,74.2,2,98.7,99,4.1,55,88,83,83.3,92,10,77,85,82.2,13,Online,44.7,Yes,56,0,0,3,25,70.5,85
HR25F0040,Jhajjar,Jhajjar-DH,Badli,01-01-2025,92,64.4,5,51.6,70,8.5,81,82,74,31.3,87,19,79,66,95,13.5,Online,63.3,No,22,3,0,2,71,43.4,56.3
HR25F0041,Jhajjar,Jhajjar-DH,Charra,01-01-2025,63.5,40,5,41.5,77,4.8,90,81,89,30,87,22,99,66,84,15,Online,46,Yes,12,4,3,2,90,69.4,52.5
HR25F0042,Jind,Jind-DH,Jullana,01-01-2025,80,84,7,52.9,90,6.7,63,95,94,80.7,85,22,88,91,80.3,15.5,New,34,Yes,22,2,0,3,21,68.2,81.3
HR25F0043,Jind,Jind-DH,Kalwa,01-01-2025,81.5,43.7,10,91.1,74,7.3,62,88,72,40.4,96,28,88,63,47.3,15.5,New,72.7,No,53,0,3,2,46,62.3,61.3
HR25F0044,Jind,Jind-DH,Kharakramji,01-01-2025,38,82.8,0,46.5,100,5.0,63,80,80,36.5,87,7,86,95,76.7,18,Follow-up,76.7,Yes,54,3,3,2,26,57.5,63.8
HR25F0045,Jind,Jind-DH,Ujhana,01-01-2025,51.5,48.6,0,49.1,71,7.3,62,97,98,83.3,100,26,86,77,85.8,10,Telemedicine,30,Yes,20,5,3,1,43,61.1,46.3
HR25F0046,Jind,Jind-DH,Kandela,01-01-2025,87.5,80.3,8,93.6,92,6.9,82,82,76,95,97,15,89,63,73,10,New,74,Yes,16,3,0,3,10,20.9,58.8
HR25F0047,Jind,Jind-DH,Muana,01-01-2025,59,76.7,7,37.6,74,8.3,45,93,75,63.8,89,9,75,95,63.8,16.5,New,46,Yes,35,3,3,0,61,48.1,73.8
HR25F0048,Jind,Jind-DH,Alewa,01-01-2025,36.5,51,13,70.7,89,5.2,47,99,84,35.2,94,5,78,77,69.3,14,New,75.3,Yes,24,2,3,3,20,64.6,63.8
HR25F0049,Kaithal,Kaithal-DH,Kaul,01-01-2025,78.5,80.3,8,86,98,4.0,69,98,91,91.1,97,20,98,76,49.2,14.5,Follow-up,54,Yes,37,4,1,0,19,42.2,61.3
HR25F0050,Kaithal,Kaithal-DH,Siwan,01-01-2025,47,46.1,0,77.1,87,5.1,30,83,89,31.3,86,18,75,70,43.7,16.5,Follow-up,64.7,No,45,4,0,3,41,36.3,70
HR25F0051,Kaithal,Kaithal-DH,Rajaund,01-01-2025,78.5,74.2,4,97.5,98,6.1,71,80,88,43,85,26,88,88,69.3,15.5,New,67.3,Yes,45,2,3,2,30,16.2,85
HR25F0052,Kaithal,Kaithal-DH,Pundri,01-01-2025,47,79.1,2,56.7,78,5.9,54,81,75,80.7,100,15,86,69,54.7,15.5,Follow-up,70,No,48,4,0,1,83,37.5,50
HR25F0053,Karnal,Kalpana Chawala Medical College,Taraori,01-01-2025,83,80.3,4,73.3,78,5.2,73,97,72,71.6,97,15,83,83,67.5,14.5,Follow-up,48.7,Yes,42,0,3,4,63,61.1,55
HR25F0054,Karnal,Kalpana Chawala Medical College,Gharunda,01-01-2025,42.5,59.6,7,94.9,98,3.1,67,84,83,31.3,92,30,83,93,54.7,14,Follow-up,76.7,Yes,27,0,1,4,13,63.5,70
HR25F0055,Karnal,Kalpana Chawala Medical College,Nissing,01-01-2025,86,84,1,65.6,100,6.4,46,87,72,74.2,94,25,78,95,49.2,11.5,Follow-up,56.7,Yes,47,4,3,1,70,76.5,80
HR25F0056,Karnal,Kalpana Chawala Medical College,Kunjpura,01-01-2025,38,58.3,1,79.6,70,8.5,32,83,90,48.2,97,21,78,85,49.2,20,Online,38,Yes,10,1,0,0,15,19.7,58.8
HR25F0057,Karnal,Kalpana Chawala Medical College,Ballah,01-01-2025,38,90.1,3,64.4,97,6.4,69,87,79,78.1,99,8,96,93,58.3,10.5,Follow-up,55.3,Yes,23,0,3,0,33,23.3,88.8
HR25F0058,Karnal,Kalpana Chawala Medical College,Nigdu,01-01-2025,63.5,73,15,40.2,92,6.6,37,80,84,45.6,86,5,85,64,41.8,16,Follow-up,48.7,Yes,32,0,3,3,20,50.5,67.5
HR25F0059,Karnal,Kalpana Chawala Medical College,Sambhli,01-01-2025,77,64.4,0,83.5,77,6.6,31,96,84,32.6,87,9,95,64,85.8,18,Online,74,No,53,0,3,2,26,37.5,81.3
HR25F0060,Karnal,Kalpana Chawala Medical College,Padha,01-01-2025,63.5,81.6,4,54.2,79,6.4,86,93,94,75.5,86,6,99,65,58.3,13,Telemedicine,86,Yes,50,5,0,2,59,30.4,46.3
HR25F0061,Kurukshetra,Kurukshetra-DH,Pehowa,01-01-2025,74,43.7,9,93.6,81,7.1,60,87,81,59.9,86,20,91,89,67.5,13,New,48.7,Yes,12,2,2,4,58,55.2,77.5
HR25F0062,Kurukshetra,Kurukshetra-DH,Ladwa,01-01-2025,53,66.9,6,36.4,78,6.4,38,80,93,63.8,100,26,79,66,82.2,20,New,72.7,No,11,0,1,3,13,74.1,62.5
HR25F0063,Kurukshetra,Kurukshetra-DH,Mathana,01-01-2025,62,51,9,59.3,73,5.4,62,82,85,30,87,15,81,80,80.3,20,Online,79.3,No,29,3,3,1,24,74.1,68.8
HR25F0064,Kurukshetra,Kurukshetra-DH,Jhansa,01-01-2025,39.5,66.9,11,88.5,74,4.7,89,97,85,79.4,93,29,84,94,49.2,11.5,New,59.3,No,33,0,3,3,16,72.9,41.3
HR25F0065,Kurukshetra,Kurukshetra-DH,Barana,01-01-2025,36.5,64.4,3,58,72,5.5,76,85,100,74.2,92,29,81,76,89.5,19,Telemedicine,36.7,No,12,1,0,0,45,25.6,40
HR25F0066,Kurukshetra,Kurukshetra-DH,Babain,01-01-2025,86,55.9,0,89.8,100,6.2,34,98,74,89.8,95,26,76,74,73,17,New,63.3,No,28,2,0,0,55,64.6,51.3
HR25F0067,Mahendragarh,Mahendragarh-DH,Ateli,01-01-2025,59,59.6,11,50.4,95,5.4,90,90,75,48.2,96,26,90,89,73,14,Telemedicine,80.7,Yes,16,2,1,1,69,58.7,68.8
HR25F0068,Mahendragarh,Mahendragarh-DH,Nangal‑sirohi,01-01-2025,50,68.1,4,80.9,91,6.2,76,81,70,50.8,89,26,89,76,91.3,18,Follow-up,87.3,No,41,0,0,4,59,39.8,77.5
HR25F0069,Mahendragarh,Mahendragarh-DH,Nangal‑chaudhry,01-01-2025,42.5,44.9,0,91.1,80,6.4,48,92,93,74.2,86,17,81,73,74.8,13,Online,79.3,Yes,27,0,1,3,88,23.3,62.5
HR25F0070,Mahendragarh,Mahendragarh-DH,Satnali,01-01-2025,50,68.1,1,60.5,79,7.0,71,94,80,50.8,86,20,90,79,69.3,11,New,35.3,No,48,4,3,2,68,50.5,57.5
HR25F0071,Mahendragarh,Mahendragarh-DH,Sehlang,01-01-2025,95,46.1,6,59.3,95,7.6,31,82,75,59.9,97,21,81,95,52.8,10.5,Telemedicine,76.7,No,11,0,2,1,68,41,70
HR25F0072,Mahendragarh,Mahendragarh-DH,Dochana,01-01-2025,41,54.7,0,77.1,93,5.9,90,98,97,82,99,25,100,76,80.3,17,New,70,Yes,49,1,0,4,53,76.5,50
HR25F0073,Mewat,SHKM‑Medical College,Ferozepur Zhirka,01-01-2025,56,88.9,1,51.6,99,4.0,67,91,94,56,85,28,75,94,58.3,12,New,86,Yes,22,5,3,0,75,39.8,86.3
HR25F0074,Mewat,SHKM‑Medical College,Punhana,01-01-2025,74,85.2,10,46.5,99,5.3,81,80,96,65.1,94,19,78,78,52.8,14,New,32.7,Yes,19,1,0,4,46,51.6,86.3
HR25F0075,Mewat,SHKM‑Medical College,Tauru,01-01-2025,63.5,90.1,2,66.9,94,5.9,48,93,97,65.1,85,12,100,71,85.8,16.5,Telemedicine,70,No,56,4,0,0,67,42.2,42.5
HR25F0076,Palwal,Palwal-DH,Aurangabad,01-01-2025,36.5,63.2,4,93.6,79,3.2,41,80,83,36.5,96,29,92,82,69.3,11.5,Follow-up,72.7,Yes,32,3,3,2,46,33.9,53.8
HR25F0077,Palwal,Palwal-DH,Hathin,01-01-2025,66.5,74.2,1,30,80,7.8,87,92,80,45.6,89,18,86,79,89.5,12.5,Follow-up,36.7,Yes,32,4,2,1,51,52.8,78.8
HR25F0078,Palwal,Palwal-DH,Sondhad,01-01-2025,63.5,64.4,7,55.5,100,6.0,76,92,91,49.5,89,8,90,69,69.3,14,Follow-up,74,No,26,5,3,0,87,64.6,51.3
HR25F0079,Palwal,Palwal-DH,Alawalpur,01-01-2025,75.5,71.8,15,74.5,95,6.4,82,86,96,92.4,96,24,83,68,78.5,16,Online,60.7,No,18,2,0,3,88,43.4,50
HR25F0080,Palwal,Palwal-DH,Dudhola,01-01-2025,89,80.3,10,94.9,80,7.7,57,92,70,31.3,99,26,77,94,87.7,11.5,Follow-up,62,No,29,2,3,3,33,59.9,65
HR25F0081,Panchkula,Panchkula-DH,Raipurrani,01-01-2025,72.5,84,4,50.4,81,4.9,50,100,86,83.3,98,17,75,73,45.5,12,Follow-up,62,No,43,3,2,1,19,71.7,51.3
HR25F0082,Panchkula,Panchkula-DH,Nanakpur,01-01-2025,65,76.7,4,38.9,86,6.6,50,90,84,70.3,100,12,77,67,47.3,13.5,Online,32.7,Yes,10,1,0,4,44,58.7,40
HR25F0083,Panchkula,Panchkula-DH,Morni,01-01-2025,77,88.9,1,89.8,84,5.7,77,92,99,33.9,94,17,98,67,78.5,16,Online,40.7,Yes,53,4,1,0,78,19.7,40
HR25F0084,Panipat,Panipat-DH,Ahar,01-01-2025,60.5,88.9,0,38.9,99,5.5,76,85,91,93.7,89,17,98,94,56.5,13,New,74,Yes,55,2,1,0,27,32.7,53.8
HR25F0085,Panipat,Panipat-DH,Dadlana,01-01-2025,77,55.9,4,36.4,93,4.8,86,84,84,53.4,95,21,91,66,56.5,15.5,New,38,Yes,37,2,1,1,53,30.4,67.5
HR25F0086,Panipat,Panipat-DH,Bapoli,01-01-2025,47,84,2,58,77,8.1,57,84,82,82,88,28,97,66,52.8,16.5,New,50,No,35,5,0,2,60,42.2,60
HR25F0087,Panipat,Panipat-DH,Mathloda,01-01-2025,42.5,68.1,1,78.4,71,5.2,77,100,82,40.4,93,29,94,88,89.5,13,New,62,Yes,33,0,1,0,40,76.5,66.3
HR25F0088,Panipat,Panipat-DH,Naultha,01-01-2025,45.5,43.7,13,68.2,97,6.8,68,92,95,41.7,94,10,82,86,80.3,10.5,Follow-up,71.3,Yes,59,1,1,4,44,31.5,58.8
HR25F0089,Panipat,Panipat-DH,Naraina,01-01-2025,77,74.2,13,30,97,3.1,35,86,90,61.2,99,11,84,74,87.7,12,Follow-up,79.3,Yes,25,3,0,3,32,28,55
HR25F0090,Panipat,Panipat-DH,Khotpura,01-01-2025,71,74.2,9,58,88,7.5,32,99,76,95,97,10,93,78,47.3,14.5,Telemedicine,83.3,No,49,3,1,1,64,41,60
HR25F0091,Rewari,Rewari-DH,Gurawara,01-01-2025,68,51,10,75.8,83,7.3,42,88,82,33.9,86,5,96,73,87.7,16.5,New,32.7,No,55,2,0,3,10,50.5,53.8
HR25F0092,Rewari,Rewari-DH,Bawal,01-01-2025,95,74.2,1,45.3,89,5.9,64,98,71,84.6,90,8,75,72,74.8,15,Online,78,No,19,2,3,4,18,75.3,83.8
HR25F0093,Rewari,Rewari-DH,Nahar,01-01-2025,36.5,77.9,3,73.3,78,5.5,80,83,79,74.2,96,28,75,87,40,13.5,Follow-up,70,No,26,2,1,4,55,30.4,81.3
HR25F0094,Rewari,Rewari-DH,Mirpur,01-01-2025,80,49.8,5,32.5,97,6.4,41,97,77,76.8,97,22,91,75,65.7,14,New,90,No,22,4,2,2,10,68.2,53.8
HR25F0095,Rewari,Rewari-DH,Khol,01-01-2025,51.5,66.9,14,93.6,89,9.0,64,98,75,88.5,94,5,83,93,84,17,Follow-up,60.7,Yes,14,1,2,2,40,65.8,76.3
HR25F0096,Rohtak,Rohtak-DH,Kahanaur,01-01-2025,72.5,92.6,0,89.8,97,3.4,75,94,86,61.2,90,6,82,77,56.5,11,Telemedicine,55.3,Yes,28,3,1,0,18,50.5,65
HR25F0097,Rohtak,Rohtak-DH,Sampla Kiloi,01-01-2025,59,44.9,14,49.1,86,6.9,49,80,79,71.6,92,21,87,69,51,17.5,New,48.7,No,43,2,2,4,78,19.7,63.8
HR25F0098,Rohtak,Rohtak-DH,Chiri,01-01-2025,78.5,40,2,96.2,81,4.5,55,85,98,44.3,89,16,94,94,69.3,16,Follow-up,75.3,No,21,4,2,4,20,74.1,80
HR25F0099,Rohtak,Rohtak-DH,Madina,01-01-2025,59,41.2,5,73.3,93,5.8,83,97,84,57.3,86,22,88,75,40,14,New,47.3,No,25,5,2,2,36,32.7,77.5
HR25F0100,Rohtak,Rohtak-DH,Lakhan Majra,01-01-2025,90.5,71.8,9,83.5,86,5.5,85,80,77,40.4,90,18,78,95,41.8,18.5,New,50,Yes,44,3,0,1,49,41,78.8
HR25F0101,Sirsa,Sirsa-DH,Rania,01-01-2025,77,86.4,2,100,77,5.2,38,86,86,83.3,88,28,77,88,40,15,Follow-up,86,No,26,5,1,0,71,69.4,63.8
HR25F0102,Sirsa,Sirsa-DH,Odhan,01-01-2025,66.5,86.4,10,79.6,79,5.8,60,98,75,48.2,97,5,98,74,40,16.5,Online,32.7,No,13,1,1,0,36,15,62.5
HR25F0103,Sirsa,Sirsa-DH,Bara‑Gudda,01-01-2025,75.5,42.4,8,61.8,91,4.2,69,95,76,62.5,96,28,94,89,45.5,15,Online,31.3,No,20,5,3,2,86,50.5,88.8
HR25F0104,Sirsa,Sirsa-DH,Kalanwali,01-01-2025,84.5,62,5,92.4,99,7.3,90,89,73,66.4,89,25,75,78,67.5,11,Follow-up,64.7,No,43,5,1,2,10,51.6,72.5
HR25F0105,Sirsa,Sirsa-DH,Nathusari‑Chopta,01-01-2025,92,54.7,2,79.6,95,3.3,77,92,78,63.8,87,15,92,69,89.5,17.5,Telemedicine,72.7,Yes,20,0,0,1,16,16.2,48.8
HR25F0106,Sirsa,Sirsa-DH,Madhosinghana,01-01-2025,68,69.3,2,66.9,82,6.6,80,93,76,76.8,93,13,90,72,93.2,14,New,80.7,Yes,45,4,1,4,65,18.5,57.5
HR25F0107,Sirsa,Sirsa-DH,Chautala,01-01-2025,92,40,13,58,97,5.3,79,98,76,41.7,86,25,81,92,95,12,Online,71.3,Yes,40,2,1,1,57,32.7,47.5
HR25F0108,Sonipat,Sonipat-DH,Kharkhauda,01-01-2025,44,88.9,4,37.6,73,4.2,34,89,100,41.7,89,15,80,92,54.7,16.5,Follow-up,86,No,35,3,0,1,89,69.4,86.3
HR25F0109,Sonipat,Sonipat-DH,Badkhalsa,01-01-2025,81.5,75.4,14,58,96,6.1,78,90,72,75.5,88,13,100,60,71.2,11,Online,78,Yes,29,2,0,2,10,46.9,53.8
HR25F0110,Sonipat,Sonipat-DH,Ganaur,01-01-2025,81.5,41.2,12,54.2,73,3.6,70,82,92,61.2,96,24,79,85,73,13,Online,70,Yes,17,1,1,0,52,32.7,57.5
HR25F0111,Sonipat,Sonipat-DH,Juan,01-01-2025,68,42.4,3,58,84,5.9,53,94,74,54.7,93,28,79,85,91.3,11.5,Telemedicine,68.7,No,38,2,2,2,90,64.6,56.3
HR25F0112,Sonipat,Sonipat-DH,Mundlana,01-01-2025,80,90.1,4,59.3,97,3.8,33,84,75,93.7,86,28,79,79,69.3,18,New,79.3,Yes,16,5,3,2,11,26.8,55
HR25F0113,Sonipat,Sonipat-DH,Firozepur‑bangar,01-01-2025,89,44.9,13,98.7,88,6.4,87,80,73,74.2,87,22,93,88,40,15,Follow-up,46,No,45,1,3,1,71,63.5,50
HR25F0114,Sonipat,Sonipat-DH,Purkhas,01-01-2025,57.5,62,7,38.9,84,4.5,71,93,100,32.6,99,9,80,93,40,12.5,Online,71.3,Yes,51,0,1,4,17,28,90
HR25F0115,Sonipat,Sonipat-DH,Bhainswal‑kalan,01-01-2025,59,84,11,86,76,5.2,79,100,95,78.1,100,29,81,89,91.3,14,Online,35.3,No,17,4,3,2,85,57.5,80
HR25F0116,Yamunanagar,Yamunanagar-DH,Naharpur,01-01-2025,57.5,73,5,86,73,6.2,32,92,92,87.2,93,29,91,75,74.8,19,Follow-up,58,Yes,16,4,3,2,87,31.5,63.8
HR25F0117,Yamunanagar,Yamunanagar-DH,Saraswatinagar,01-01-2025,87.5,53.4,8,61.8,86,4.8,87,83,70,92.4,97,21,95,72,95,16.5,New,30,No,56,0,3,2,53,71.7,47.5
HR25F0118,Yamunanagar,Yamunanagar-DH,Sadhaura,01-01-2025,80,63.2,2,32.5,79,5.7,53,90,87,53.4,85,28,86,74,74.8,19,New,60.7,No,15,3,1,1,40,35.1,46.3
HR25F0119,Yamunanagar,Yamunanagar-DH,Chhachhrauli,01-01-2025,75.5,46.1,5,50.4,70,3.7,64,89,74,88.5,95,5,94,80,87.7,17.5,New,60.7,No,53,1,3,0,82,62.3,72.5
HR25F0120,Yamunanagar,Yamunanagar-DH,Bilaspur,01-01-2025,38,88.9,5,49.1,77,6.7,39,98,98,41.7,85,18,85,94,47.3,13,Online,74,Yes,28,0,0,3,28,54,42.5
HR25F0121,Yamunanagar,Yamunanagar-DH,Khizrabad,01-01-2025,77,53.4,13,66.9,71,8.3,33,100,78,65.1,92,5,78,74,80.3,14,Online,72.7,Yes,20,1,1,1,38,65.8,87.5
HR25F0122,Yamunanagar,Yamunanagar-DH,Akbarpur,01-01-2025,59,43.7,15,92.4,71,9.7,70,82,87,58.6,98,23,96,91,49.2,14,New,79.3,No,24,4,0,4,50,41,67.5
HR25F0123,Ambala,Ambala-DH,Mullana,01-02-2025,48.5,92.6,15,61.8,93,5.9,36,97,83,35.2,100,27,87,80,87.7,19.5,Telemedicine,68.7,Yes,36,5,0,4,31,38.6,65
HR25F0124,Ambala,Ambala-DH,Chaurmastpur,01-02-2025,75.5,64.4,15,31.3,74,6.9,47,90,100,63.8,88,21,97,78,84,19.5,New,80.7,No,41,0,3,2,48,52.8,78.8
